table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,st_radv,double,,,,Systemic Radial Velocity [km/s],,km/s,,0,0,0,173,9.2f
ps,st_radverr1,double,,,,Systemic Radial Velocity Upper Unc. [km/s],,km/s,,0,0,0,174,9.2f
ps,st_radverr2,double,,,,Systemic Radial Velocity Lower Unc. [km/s],,km/s,,0,0,0,175,9.2f
ps,st_radvlim,int,,,,Systemic Radial Velocity Limit Flag,,,,0,0,0,176,11d
ps,st_radvstr,char,200.0,,200.0,Systemic Radial Velocity [km/s],,km/s,,0,0,0,177,200s
ps,st_vsin,double,,,,Stellar Rotational Velocity [km/s],,km/s,,0,0,0,178,10.4f
ps,st_vsinerr1,double,,,,Stellar Rotational Velocity [km/s] Upper Unc.,,km/s,,0,0,0,179,10.4f
ps,st_vsinerr2,double,,,,Stellar Rotational Velocity [km/s] Lower Unc.,,km/s,,0,0,0,180,10.4f
ps,st_vsinlim,int,,,,Stellar Rotational Velocity Limit Flag,,,,0,0,0,181,11d
ps,st_vsinstr,char,200.0,,200.0,Stellar Rotational Velocity [km/s],,km/s,,0,0,0,182,200s
ps,st_lum,double,,,,Stellar Luminosity [log(Solar)],,log(Lsun),,0,0,0,183,12.3f
ps,st_lumerr1,double,,,,Stellar Luminosity Upper Unc. [log(Solar)],,log(Lsun),,0,0,0,184,12.3f
ps,st_lumerr2,double,,,,Stellar Luminosity Lower Unc. [log(Solar)],,log(Lsun),,0,0,0,185,12.3f
ps,st_lumlim,int,,,,Stellar Luminosity Limit Flag,,,,0,0,0,186,10d
ps,st_lumstr,char,200.0,,200.0,Stellar Luminosity [log(Solar)],,log(Lsun),,0,0,0,187,200s
ps,st_logg,double,,,,Stellar Surface Gravity [log(cm/s**2)],,log(cm/s**2),,0,1,0,188,8.2f
ps,st_loggerr1,double,,,,Stellar Surface Gravity Upper Unc. [log(cm/s**2)],,log(cm/s**2),,0,1,0,189,8.2f
ps,st_loggerr2,double,,,,Stellar Surface Gravity Lower Unc. [log(cm/s**2)],,log(cm/s**2),,0,1,0,190,8.2f
ps,st_logglim,int,,,,Stellar Surface Gravity Limit Flag,,,,0,1,0,191,11d
ps,st_loggstr,char,200.0,,200.0,Stellar Surface Gravity [log(cm/s**2)],,log(cm/s**2),,0,0,0,192,200s
ps,st_age,double,,,,Stellar Age [Gyr],,Gyr,,0,0,0,193,7.3f
