sy_name,sy_snum,sy_pnum,cb_flag,st_rad
Kepler-631,1,1,0,0.95
Kepler-528,1,1,0,1.28
Kepler-473,1,1,0,1.79
Kepler-126,1,3,0,1.26
HD 4208,1,1,0,0.85
Kepler-1879,1,1,0,1.28
Kepler-431,1,3,0,1.62
Kepler-32,1,5,0,0.5
Kepler-1693,1,2,0,0.84
TOI-1452,2,1,0,0.25
Kepler-1079,1,1,0,2.43
BD+03 2562,1,1,0,38.83
alf Ari,1,1,0,
Kepler-154,1,5,0,0.79
Kepler-1524,1,1,0,0.99
Kepler-431,1,3,0,1.79
Kepler-235,1,4,0,
Kepler-1991,1,2,0,0.83
OGLE-2016-BLG-1067L,1,1,0,
Kepler-1976,1,1,0,
Kepler-385,1,3,0,1.03
Kepler-735,1,1,0,0.78
KMT-2019-BLG-2783L,1,1,0,
Gl 49,2,1,0,
GJ 411,1,2,0,
Kepler-938,1,1,0,0.57
HIP 57274,1,3,0,
bet UMi,1,1,0,38.3
Kepler-1132,1,1,0,0.72
Kepler-550,1,1,0,
Kepler-1057,1,1,0,0.92
GJ 896,2,1,0,
Kepler-198,1,3,0,0.93
KMT-2016-BLG-1836L,1,1,0,
Kepler-1006,1,1,0,1.08
HD 39194,1,3,0,
HD 158038,1,1,0,4.5
Kepler-1006,1,1,0,1.08
HD 98219,1,1,0,
Kepler-792,1,1,0,1.02
KMT-2019-BLG-1552L,1,1,0,
Kepler-311,1,3,0,1.12
OGLE-2014-BLG-0676L,1,1,0,
Kepler-1031,1,1,0,0.95
MOA-2015-BLG-337L,1,1,0,
Kepler-1551,1,1,0,1.25
KOI-142,1,3,0,
HD 114783,1,2,0,0.81
Kepler-1079,1,1,0,2.54
KMT-2018-BLG-1976L,1,1,0,
Kepler-1359,1,1,0,0.66
PH1,4,1,1,
TCP J05074264+2447555,1,1,0,
bet UMi,1,1,0,
OGLE-2015-BLG-0966L,1,1,0,
Kepler-405,1,2,0,0.78
Kepler-132,2,4,0,1.1
Kepler-633,1,2,0,1.55
KMT-2019-BLG-0253L,1,1,0,
OGLE-2019-BLG-1492L,1,1,0,
Kepler-1666,1,2,0,1.21
OGLE-2018-BLG-1119L,1,1,0,
Kepler-80,1,6,0,0.65
Kepler-675,1,1,0,0.82
