sy_name,sy_snum,sy_pnum
HD 141004,1,1
HD 141399,1,4
HD 141937,1,1
HD 142,2,3
HD 142022,2,1
HD 142245,3,1
HD 142415,1,1
HD 143105,1,1
HD 143361,1,1
HD 144899,1,1
HD 145377,1,1
HD 145457,1,1
HD 145934,1,1
HD 1461,1,2
HD 147018,1,2
HD 147379,2,1
HD 147513,2,1
HD 14787,1,1
HD 147873,2,2
HD 148156,1,1
HD 148164,1,2
HD 148427,1,1
HD 149026,1,1
HD 149143,1,1
HD 150010,1,1
HD 1502,1,1
HD 150706,1,1
HD 151450,1,2
HD 152079,1,1
HD 152581,1,1
HD 152843,1,2
HD 15337,1,2
HD 153950,1,1
HD 154088,1,1
HD 154345,1,1
HD 154391,1,1
HD 154672,1,1
HD 154857,1,2
HD 155193,1,1
HD 155358,1,2
HD 156098,1,2
HD 156279,1,2
HD 156411,1,1
HD 156668,1,2
HD 156846,2,1
HD 158038,1,1
HD 158259,1,5
HD 158996,1,1
HD 15906,1,2
HD 159243,1,2
HD 159868,1,2
HD 1605,1,2
HD 160691,1,4
HD 161178,1,1
HD 16141,2,1
HD 16175,1,1
HD 162020,1,1
HD 163607,1,2
HD 16417,2,1
HD 164509,2,1
HD 164595,2,1
HD 164604,1,1
HD 164922,1,4
HD 165131,1,1
HD 165155,1,1
HD 1666,1,1
HD 166724,1,1
HD 167042,1,1
HD 167677,1,1
HD 167768,1,1
HD 168009,1,1
HD 168443,1,2
HD 168746,1,1
HD 168863,1,1
HD 1690,1,1
HD 16905,1,1
HD 169142,1,1
HD 169830,1,2
HD 170469,2,1
HD 17092,1,1
HD 171028,1,1
HD 171238,1,1
HD 17156,1,1
HD 173416,1,1
HD 174205,1,1
HD 175167,1,1
HD 175541,1,1
HD 175607,1,1
HD 17674,1,1
HD 176986,1,2
HD 177565,1,1
HD 177830,2,2
HD 178911,3,1
HD 179079,1,1
HD 179949,1,1
HD 180053,1,1
HD 18015,1,1
HD 180314,1,1
HD 180617,2,1
HD 180902,2,1
HD 181234,1,1
HD 181342,1,1
HD 181433,1,3
HD 181720,1,1
HD 183263,1,2
HD 183579,1,1
HD 184010,1,3
HD 18438,1,1
HD 185269,3,1
HD 185283,1,1
HD 18599,2,1
HD 187085,1,1
HD 187123,1,2
HD 18742,1,1
HD 188015,2,1
HD 188641,1,1
HD 189567,1,2
HD 189733,2,1
HD 190007,1,1
HD 190228,1,1
HD 190360,2,2
HD 190647,1,1
HD 190984,1,1
HD 191806,1,1
HD 191939,1,6
HD 192263,1,1
HD 192310,1,2
HD 192699,1,1
HD 194490,1,1
HD 195019,2,1
HD 196050,3,1
HD 196067,2,1
HD 19615,1,1
HD 196885,2,1
HD 197037,2,1
HD 19994,3,1
HD 20003,1,2
HD 200964,1,2
HD 202206,2,1
HD 202696,1,2
HD 202772,2,1
HD 203030,1,1
HD 20329,1,1
HD 203387,1,2
HD 2039,1,1
HD 204313,1,3
HD 204941,2,1
HD 205158,1,1
HD 205739,1,1
HD 206255,1,1
HD 206610,1,1
HD 206893,1,2
HD 207496,1,1
HD 20782,2,5
HD 207832,3,2
HD 207897,1,1
HD 20794,1,4
HD 208487,1,1
HD 208527,1,1
HD 20868,1,1
HD 208897,1,1
HD 209458,1,1
HD 210193,1,1
HD 210277,1,1
HD 210702,1,1
HD 211403,1,1
HD 211810,1,1
HD 211970,1,1
HD 212301,2,1
HD 212771,1,1
HD 213240,2,1
HD 213472,1,1
HD 213519,1,1
HD 213885,1,2
HD 21411,1,1
HD 214823,2,1
HD 215152,1,4
HD 21520,1,1
HD 215497,1,2
HD 216435,1,1
HD 216437,1,1
HD 216520,1,2
HD 216536,1,1
HD 216770,1,1
HD 21693,1,2
HD 217107,1,2
HD 217786,2,2
HD 217958,1,1
HD 218566,1,1
HD 219077,1,1
HD 219134,1,6
HD 219139,1,1
HD 219415,1,1
HD 219666,1,1
HD 219828,1,2
HD 220074,1,1
HD 220197,1,1
HD 220689,1,1
HD 220773,1,1
HD 220842,2,1
HD 221287,1,1
HD 221416,1,1
HD 221420,1,1
HD 221585,1,1
HD 222076,1,1
HD 222155,1,1
HD 222582,2,1
HD 224538,1,1
HD 224693,1,1
HD 22496,1,1
HD 22532,1,1
HD 22781,1,1
HD 22946,1,3
HD 23079,1,1
HD 23127,1,1
HD 231701,1,1
HD 233604,1,1
HD 233832,2,1
HD 23472,1,5
HD 235088,1,1
HD 23596,2,1
HD 238090,1,1
HD 238914,1,1
HD 240210,1,1
HD 240237,1,1
HD 24040,1,2
HD 24064,1,1
HD 24085,1,1
HD 25015,1,1
HD 25171,2,1
HD 25463,1,2
HD 25723,1,1
HD 25912,1,2
HD 260655,1,2
HD 26161,1,1
HD 2638,3,1
HD 2685,1,1
HD 27442,2,1
HD 27631,1,1
HD 27894,1,3
HD 27969,1,1
HD 28109,1,3
HD 28185,1,2
HD 28192,1,1
HD 28254,2,1
HD 284149,2,1
HD 285507,1,1
HD 285968,1,1
HD 28678,1,1
HD 29021,1,1
HD 290327,1,1
HD 29399,1,1
HD 2952,1,1
HD 29985,1,1
HD 30177,1,2
HD 30562,1,1
HD 30669,1,1
HD 307842,1,1
HD 30856,2,1
HD 31253,1,1
HD 31527,1,3
HD 3167,1,4
HD 32518,1,1
HD 32963,1,1
HD 330075,1,1
HD 331093,1,1
HD 33142,1,3
HD 332231,1,1
HD 33283,2,1
HD 33564,1,1
HD 33844,1,2
HD 34445,1,6
HD 35759,1,1
HD 360,1,1
HD 36384,1,1
HD 3651,1,1
HD 37124,1,3
HD 37605,1,2
HD 3765,1,1
HD 38283,1,1
HD 38529,2,2
HD 38801,1,1
HD 39091,1,3
HD 39194,1,3
HD 39855,1,1
HD 40307,1,5
HD 40956,1,1
HD 40979,3,1
HD 41004,2,2
HD 4113,3,1
HD 42012,1,1
HD 4203,1,2
HD 4208,1,1
HD 42618,1,1
HD 42813,1,3
HD 4308,1,1
HD 4313,1,1
HD 43197,1,2
HD 43691,3,1
HD 44219,1,1
HD 45184,1,2
HD 45350,1,1
HD 45364,1,2
HD 45652,1,1
HD 457,1,1
HD 46375,2,1
HD 47186,1,2
HD 4732,2,2
HD 47366,1,2
HD 47536,1,1
HD 4760,1,1
HD 48265,1,1
HD 48948,1,3
HD 4917,1,1
HD 49674,1,1
HD 50499,1,2
HD 50554,1,1
HD 51608,1,2
HD 52265,1,1
HD 5278,1,2
HD 5319,1,2
HD 55696,1,1
HD 5583,1,1
HD 5608,2,1
HD 564,1,1
HD 56414,1,1
HD 56957,1,1
HD 5891,1,1
HD 59686,2,1
HD 60292,1,1
HD 60532,1,2
HD 6061,2,1
HD 62364,1,2
HD 62509,1,1
HD 62549,1,1
HD 63433,1,3
HD 63454,1,1
HD 63765,1,1
HD 63935,1,2
HD 64114,1,1
HD 64121,1,1
HD 6434,1,1
HD 65216,3,2
HD 66141,1,1
HD 66428,1,2
HD 67087,1,2
HD 6718,1,1
HD 68402,1,1
HD 6860,1,1
HD 68988,1,2
HD 69123,1,1
HD 69830,1,3
HD 70573,1,1
HD 70642,1,1
HD 7199,1,1
HD 72490,1,1
HD 72659,1,2
HD 72892,1,1
HD 73256,1,1
HD 73267,1,2
HD 73344,1,1
HD 73526,1,2
HD 73534,1,1
HD 73583,1,2
HD 74156,1,2
HD 7449,2,1
HD 74698,1,2
HD 75289,2,1
HD 75302,1,1
HD 75784,1,2
HD 75898,1,1
HD 76700,1,1
HD 76920,1,1
HD 77338,1,1
HD 77946,1,1
HD 79181,1,1
HD 7924,1,3
HD 79498,2,1
HD 80606,2,1
HD 80653,1,2
HD 80869,1,1
HD 80883,1,1
HD 80913,1,1
HD 81040,1,1
HD 81688,1,1
HD 81817,1,2
HD 82886,1,1
HD 82943,1,2
HD 8326,1,1
HD 83443,1,2
HD 8535,2,1
HD 85390,1,1
HD 8574,1,1
HD 86065,1,1
HD 86081,2,1
HD 86226,1,2
HD 86264,1,1
HD 8673,2,1
HD 86950,1,1
HD 87646,3,1
HD 87883,1,1
HD 88072,1,1
HD 88133,1,1
HD 88986,1,1
HD 89307,1,1
HD 89345,1,1
HD 89744,2,1
HD 89839,1,1
HD 90156,1,1
HD 9174,1,1
HD 92788,1,2
HD 93083,1,1
HD 93351,1,2
HD 93385,1,3
HD 93963,2,2
HD 9446,1,2
HD 94771,1,1
HD 94834,1,1
HD 95086,1,1
HD 95089,1,2
HD 95127,1,1
HD 95338,1,1
HD 95544,1,1
HD 95872,1,1
HD 96063,1,1
HD 96127,1,1
HD 96167,2,1
HD 96700,1,3
HD 96992,1,1
HD 97037,1,1
HD 97048,1,1
HD 97658,1,1
HD 98219,1,1
HD 98649,1,1
HD 98736,2,1
HD 99109,1,1
HD 99283,1,1
HD 99492,2,2
HD 99706,1,2
HIP 103768,1,1
HIP 104436,1,1
HIP 105854,1,1
HIP 107772,1,1
HIP 107773,1,1
HIP 109384,1,1
HIP 109600,2,1
HIP 113103,1,2
HIP 114933,1,1
HIP 116454,2,1
HIP 12961,1,1
HIP 13642 A,1,2
HIP 14810,1,3
HIP 15799,2,1
HIP 19976,1,1
HIP 21152,2,1
HIP 34222,1,1
HIP 35173,1,1
HIP 35965,1,1
HIP 38594,2,2
HIP 39017,1,1
HIP 41378,1,5
HIP 4845,1,1
HIP 48714,1,1
HIP 5158,1,2
HIP 54373,1,2
HIP 54597,1,1
HIP 55507,1,1
HIP 56640,1,1
HIP 57274,1,3
HIP 5763,1,1
HIP 62039,1,1
HIP 63242,1,1
HIP 64797 A,1,2
HIP 65,2,1
HIP 65407,1,2
HIP 65426,1,1
HIP 65891,1,1
HIP 66074,1,1
HIP 67522,1,1
HIP 67537,1,1
HIP 67851,1,2
HIP 70849,2,1
HIP 70950,1,1
HIP 71135,1,1
HIP 74890,1,1
HIP 75092,1,1
HIP 77358,1,2
HIP 77900,1,1
HIP 78530,1,1
HIP 79098,2,1
HIP 79431,1,1
HIP 81208,3,1
HIP 81375,1,1
HIP 8152,1,2
HIP 83020 A,1,3
HIP 84988,1,2
HIP 8541,2,2
HIP 86057,2,1
HIP 86221,1,1
HIP 90988,1,1
HIP 91258,1,1
HIP 94235,2,1
HIP 948,1,1
HIP 9618,1,2
HIP 97166,1,2
HIP 97233,1,1
HIP 99770,1,1
HN Lib,1,1
HN Peg,1,1
HR 2562,1,1
HR 5183,2,1
HR 810,1,1
HR 858,2,3
HR 8799,1,4
HS Psc,1,1
HU Aqr,2,2
IC 4651 9122,1,1
ITG 15,2,1
K2-10,1,1
K2-100,1,1
K2-101,1,1
K2-102,1,1
K2-104,1,1
K2-105,1,1
K2-107,1,1
K2-108,1,1
K2-11,1,1
K2-110,1,1
K2-111,1,2
K2-113,1,1
K2-114,1,1
K2-115,1,1
K2-116,1,1
K2-117,1,2
K2-118,1,1
K2-119,1,1
K2-12,1,1
K2-120,1,1
K2-121,1,1
K2-122,2,1
K2-123,1,1
K2-124,1,1
K2-125,1,1
K2-126,1,1
K2-127,1,1
K2-128,1,1
K2-129,1,1
K2-13,1,1
K2-130,1,1
K2-131,1,1
K2-132,1,1
K2-133,1,4
K2-136,2,3
K2-137,1,1
K2-138,1,6
K2-139,1,1
K2-14,1,1
K2-140,1,1
K2-141,1,2
K2-146,1,2
K2-147,1,1
K2-148,2,3
K2-149,1,1
K2-15,1,1
K2-150,1,1
K2-151,2,1
K2-152,1,1
K2-153,1,1
K2-154,1,2
K2-155,1,3
K2-156,1,1
K2-157,1,1
K2-158,1,2
K2-159,1,1
K2-16,1,3
K2-160,1,1
K2-161,1,1
K2-162,1,1
K2-163,1,1
K2-164,1,1
K2-165,1,3
K2-166,1,2
K2-167,1,1
K2-168,1,2
K2-169,1,1
K2-17,1,1
K2-170,1,2
K2-171,1,1
K2-172,1,2
K2-173,1,1
K2-174,1,1
K2-175,1,1
K2-176,1,1
K2-177,1,1
K2-178,1,1
K2-179,1,1
K2-18,1,2
K2-180,1,1
K2-181,1,1
K2-182,1,1
K2-183,1,3
K2-184,1,1
K2-185,1,2
K2-186,1,1
K2-187,1,4
K2-188,1,2
K2-189,1,2
K2-19,1,3
K2-190,1,2
K2-191,1,1
K2-192,1,1
K2-193,1,1
K2-194,1,1
K2-195,1,2
K2-196,1,1
K2-197,1,1
K2-198,1,3
K2-199,1,2
K2-200,1,1
K2-201,1,2
K2-2016-BLG-0005L,1,1
K2-202,1,1
K2-203,1,1
K2-204,1,1
K2-205,1,1
K2-206,1,1
K2-207,1,1
K2-208,1,1
