table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
stellarhosts,st_tefferr2,double,,,,Stellar Effective Temperature Lower Unc. [K],,K,,0,1,0,43,8.2f
stellarhosts,st_tefflim,int,,,,Stellar Effective Temperature Limit Flag,,,,0,1,0,45,11d
stellarhosts,st_met,double,,,,Stellar Metallicity [dex],,dex,,0,1,0,48,6.3f
stellarhosts,st_meterr1,double,,,,Stellar Metallicity Upper Unc. [dex],,dex,,0,1,0,49,6.3f
stellarhosts,st_meterr2,double,,,,Stellar Metallicity Lower Unc. [dex],,dex,,0,1,0,50,6.3f
stellarhosts,st_metlim,int,,,,Stellar Metallicity Limit Flag,,,,0,1,0,52,10d
stellarhosts,st_radv,double,,,,Systemic Radial Velocity [km/s],,km/s,,0,0,0,55,9.2f
stellarhosts,st_radverr1,double,,,,Systemic Radial Velocity Upper Unc. [km/s],,km/s,,0,0,0,56,9.2f
stellarhosts,st_radverr2,double,,,,Systemic Radial Velocity Lower Unc. [km/s],,km/s,,0,0,0,57,9.2f
stellarhosts,st_radvlim,int,,,,Systemic Radial Velocity Limit Flag,,,,0,0,0,59,11d
stellarhosts,st_vsin,double,,,,Stellar Rotational Velocity [km/s],,km/s,,0,0,0,62,10.4f
stellarhosts,st_vsinerr1,double,,,,Stellar Rotational Velocity [km/s] Upper Unc.,,km/s,,0,0,0,63,10.4f
stellarhosts,st_vsinerr2,double,,,,Stellar Rotational Velocity [km/s] Lower Unc.,,km/s,,0,0,0,64,10.4f
stellarhosts,st_vsinlim,int,,,,Stellar Rotational Velocity Limit Flag,,,,0,0,0,66,11d
